review,rating,date,bank,source,sentiment_label,sentiment_score,theme
"This application was not that great, and its performance has unfortunately declined further. For the past week, I have been unable to access my balance or transfer funds. This situation is causing considerable concern and inconvenience, as I cannot access my money in a timely manner. This has resulted in late payments and a loss of confidence and trust. Furthermore, I have not received a response to my message to the customer support team.",1,2026-04-12,Commercial Bank of Ethiopia,Google Play,negative,-0.1174,Transaction Issues
🤙,5,2026-04-12,Commercial Bank of Ethiopia,Google Play,positive,0.4939,General Feedback
I can't download this app please assist how it can be downloaded,1,2026-04-12,Commercial Bank of Ethiopia,Google Play,positive,0.3182,Feature Request
"my favorite so far, but, how come we are not able to download the app and fix our problem ourselves? it is not fair to go to the bank and fix it for you? please think about it. Thank you",5,2026-04-11,Commercial Bank of Ethiopia,Google Play,positive,0.3751,Feature Request
lulit tukka giro,5,2026-04-11,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Enough good even it hasn't transferring for other telebirr users,5,2026-04-11,Commercial Bank of Ethiopia,Google Play,positive,0.4404,Transaction Issues
not good not bad.,3,2026-04-11,Commercial Bank of Ethiopia,Google Play,negative,-0.5824,User Experience
easy fast helpful for our business,5,2026-04-11,Commercial Bank of Ethiopia,Google Play,positive,0.6908,User Experience
bad strresing,1,2026-04-11,Commercial Bank of Ethiopia,Google Play,negative,-0.5423,General Feedback
cool,5,2026-04-11,Commercial Bank of Ethiopia,Google Play,positive,0.3182,General Feedback
100%100 Fast and Amazing app !! 🏆🏆🏆🏆🏆🏆🏆🏆 💞🌷🇪🇹,5,2026-04-10,Commercial Bank of Ethiopia,Google Play,positive,0.8652,General Feedback
Not that happy at this app,3,2026-04-10,Commercial Bank of Ethiopia,Google Play,negative,-0.4585,General Feedback
Best,5,2026-04-10,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
crush alot,1,2026-04-10,Commercial Bank of Ethiopia,Google Play,negative,-0.1531,General Feedback
itii fayadamaa namaa fayadaa kuniin,5,2026-04-10,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Musxafaa,5,2026-04-09,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
well expriences,5,2026-04-09,Commercial Bank of Ethiopia,Google Play,positive,0.2732,General Feedback
great 👍,5,2026-04-09,Commercial Bank of Ethiopia,Google Play,positive,0.6249,User Experience
I had good time with CBE,5,2026-04-09,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
crashes every time you need to update this app ASAP.. i will be changing bank if tjis continues,1,2026-04-09,Commercial Bank of Ethiopia,Google Play,neutral,0.0,App Performance
easy and fast,5,2026-04-08,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
this app is very good,5,2026-04-08,Commercial Bank of Ethiopia,Google Play,positive,0.4927,User Experience
በጣም ጥሩ ነው,4,2026-04-08,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
deduction but no transaction. not good,3,2026-04-08,Commercial Bank of Ethiopia,Google Play,negative,-0.7104,Transaction Issues
Easy to use and reliable.,5,2026-04-07,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
difficult to see our transactions after aweek,1,2026-04-07,Commercial Bank of Ethiopia,Google Play,negative,-0.3612,Transaction Issues
👍👍,5,2026-04-07,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Good bank,5,2026-04-07,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
swift,5,2026-04-07,Commercial Bank of Ethiopia,Google Play,positive,0.2023,General Feedback
it is wel,5,2026-04-07,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
fully functional greate application it makes payment and transaction easier,5,2026-04-06,Commercial Bank of Ethiopia,Google Play,positive,0.4215,Transaction Issues
it's best for everyone,5,2026-04-06,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
good jobs,5,2026-04-06,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
am happy using it.But why does it need continuous updates?,5,2026-04-06,Commercial Bank of Ethiopia,Google Play,positive,0.5719,Feature Request
Good job,5,2026-04-06,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
Thank you for your service.,1,2026-04-05,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
WOW!,4,2026-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.6239,General Feedback
i have more experience,5,2026-04-04,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
i like this app,5,2026-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
I love this app,5,2026-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.6369,User Experience
it is not working,1,2026-04-04,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
the app freezes sometimes and crashing,1,2026-04-04,Commercial Bank of Ethiopia,Google Play,neutral,-0.0258,App Performance
for active payment it's number one chose,5,2026-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.4588,Transaction Issues
"What a nasty Update is this !. May I say 'Events cast their shadow before happenings'. Trust, value, Bank's 'n' Customers' financial property, such like things, at risk once again(the State owned Bank experienced some months ago due to app development issues or some other unknown reasons. Unable to see my own current balance due to a hidden page being displayed, stacked transaction history since March 26th, among others. Is that a Banking app being developed by Professionals ?.",1,2026-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.4199,Transaction Issues
Very good Service provider bank,5,2026-04-04,Commercial Bank of Ethiopia,Google Play,positive,0.4927,User Experience
nice app keep it up🤝🤝,5,2026-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
very much for your information 👋,5,2026-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.4939,General Feedback
bad👎,1,2026-04-03,Commercial Bank of Ethiopia,Google Play,negative,-0.5423,General Feedback
so nice to me,5,2026-04-03,Commercial Bank of Ethiopia,Google Play,positive,0.4754,User Experience
good update,5,2026-04-02,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
It's a good improvement. the app,5,2026-04-02,Commercial Bank of Ethiopia,Google Play,positive,0.7096,User Experience
"This app is very unreliable—slow, frequently crashes, and fails to sync properly. Transactions don’t reflect accurately; I transferred money that was deducted but never received, with no record in recent activity. It often stops working and takes too long to update. Reinstalling doesn’t help. You even have to visit a branch for it to start working, which is unacceptable today. The problem is even worse outside Ethiopia.",1,2026-04-02,Commercial Bank of Ethiopia,Google Play,negative,-0.8631,Transaction Issues
not working,5,2026-04-01,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
it's fast and easy nice,5,2026-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.6908,User Experience
girms,5,2026-04-01,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"this platform is very useful for exchanging payment ,than *889#(it's slower ).🙏🙏",5,2026-04-01,Commercial Bank of Ethiopia,Google Play,positive,0.4927,Transaction Issues
very excellent application the number one bank of Ethiopia thanks,5,2026-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.8016,General Feedback
I can't use the app months ago. It stopped working with Mobile data and WiFi. I didn't know the cause. Why this app is not compatible with Android 8?,3,2026-03-31,Commercial Bank of Ethiopia,Google Play,negative,-0.2263,General Feedback
"very nice app, but charge more.",5,2026-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.2609,User Experience
Why mobile Banking is not functional?,2,2026-03-31,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
does this app support international transactions,3,2026-03-31,Commercial Bank of Ethiopia,Google Play,positive,0.4019,Transaction Issues
i use CBE almost more than 5 years,3,2026-03-30,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
this app essential app on this time,5,2026-03-30,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"After update not working at all, I live in abroad.",1,2026-03-30,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Feature Request
it is not well functional. It always sluggish and poor application. n Not interested because always straggling .,1,2026-03-30,Commercial Bank of Ethiopia,Google Play,negative,-0.8348,General Feedback
best bank ever,5,2026-03-30,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
Pleas allow self service on Mobile banking.,5,2026-03-29,Commercial Bank of Ethiopia,Google Play,positive,0.2263,General Feedback
saved transactions doesn't work properly it doesn't show transactions before a month only shows recent transactions even after I set filter date range,1,2026-03-29,Commercial Bank of Ethiopia,Google Play,positive,0.4215,Transaction Issues
easygoing & Convenient to use.,5,2026-03-29,Commercial Bank of Ethiopia,Google Play,positive,0.3182,User Experience
Thank you,5,2026-03-28,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
It charges high amount of service charge.,1,2026-03-28,Commercial Bank of Ethiopia,Google Play,negative,-0.2732,General Feedback
melkam new,4,2026-03-27,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Very good service all times,5,2026-03-25,Commercial Bank of Ethiopia,Google Play,positive,0.4927,User Experience
ohh very useful and easy for use,5,2026-03-25,Commercial Bank of Ethiopia,Google Play,positive,0.7474,User Experience
good application,5,2026-03-25,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
it nice and fast but usually it bad the connection by 4g network it still bad,4,2026-03-24,Commercial Bank of Ethiopia,Google Play,negative,-0.8625,User Experience
not work app,5,2026-03-23,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
nice App,5,2026-03-22,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
CBE is my beast one for any transactions,5,2026-03-22,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Transaction Issues
very good,5,2026-03-22,Commercial Bank of Ethiopia,Google Play,positive,0.4927,User Experience
I Am Proud Of CBE Period!!!,5,2026-03-22,Commercial Bank of Ethiopia,Google Play,positive,0.6093,General Feedback
digital banking,5,2026-03-21,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
it is very good service you are giving,5,2026-03-21,Commercial Bank of Ethiopia,Google Play,positive,0.6801,User Experience
ps fast and easy,5,2026-03-21,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
nice app for me,3,2026-03-21,Commercial Bank of Ethiopia,Google Play,positive,0.4215,User Experience
vibe,4,2026-03-21,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Tajajilli keessan dubati Hafadha አገልግሎታችሁን ዱባቲ ሀፋድህን አቆይ Your service will stay behind,1,2026-03-21,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
ገላግሌ ብየዋለው ጥድት ያለ አፕ,5,2026-03-20,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
best app i like it,5,2026-03-20,Commercial Bank of Ethiopia,Google Play,positive,0.7717,General Feedback
it is really very poor application. i've ever experienced.,1,2026-03-20,Commercial Bank of Ethiopia,Google Play,negative,-0.5678,General Feedback
wow ✌️,5,2026-03-19,Commercial Bank of Ethiopia,Google Play,positive,0.5859,General Feedback
EASY & SIMLPE TO MANIPULATE. COGRATS !!,4,2026-03-19,Commercial Bank of Ethiopia,Google Play,positive,0.639,User Experience
zewediesh,4,2026-03-19,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
Perfect App,5,2026-03-19,Commercial Bank of Ethiopia,Google Play,positive,0.5719,General Feedback
🆗 g,5,2026-03-19,Commercial Bank of Ethiopia,Google Play,positive,0.4466,General Feedback
the best app of mobile banking,5,2026-03-18,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
ዝም ብሉ ይዞራል 😡😡😡,3,2026-03-18,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
the bank You can always relay on!,5,2026-03-18,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"Why does this welcome notification appear every time the app is opened? It doesn’t add value in its current form, so please consider removing it. Alternatively, you could adjust it to appear only occasionally.",4,2026-03-17,Commercial Bank of Ethiopia,Google Play,positive,0.8356,Feature Request
10Q U,5,2026-03-17,Commercial Bank of Ethiopia,Google Play,positive,0.4767,General Feedback
very interesting,5,2026-03-17,Commercial Bank of Ethiopia,Google Play,positive,0.4576,General Feedback
"it cant accomidate more than 2 accounts,every time i subscribe for my 3r account it vanish.",3,2026-03-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
it's so disgusting my phone is s9+ android of 8/9 and this application still doesn't work for my phone fix it sooner as possible !,1,2026-03-17,Commercial Bank of Ethiopia,Google Play,negative,-0.6105,General Feedback
This app is by far one of the useless apps. It keep on sating can't sync and unable to do transfers. please for God sake fix it,1,2026-03-17,Commercial Bank of Ethiopia,Google Play,positive,0.1531,Transaction Issues
ልስን,4,2026-03-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
new app,5,2026-03-17,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
it can't showed transaction history perfectly,1,2026-03-16,Commercial Bank of Ethiopia,Google Play,positive,0.6369,Transaction Issues
it have to be work on all smart phone ratherthan limitted by version,1,2026-03-16,Commercial Bank of Ethiopia,Google Play,positive,0.4019,General Feedback
All right 👍,5,2026-03-16,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
you can transfer br,5,2026-03-16,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Transaction Issues
well,5,2026-03-16,Commercial Bank of Ethiopia,Google Play,positive,0.2732,General Feedback
not properly work,2,2026-03-16,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
proud of CBE. CBE is my everyday day choice and confidence.,5,2026-03-15,Commercial Bank of Ethiopia,Google Play,positive,0.7506,General Feedback
It would be great if you could add tele birr agent to the transfer to wallet.,2,2026-03-15,Commercial Bank of Ethiopia,Google Play,positive,0.6249,Transaction Issues
love,5,2026-03-15,Commercial Bank of Ethiopia,Google Play,positive,0.6369,User Experience
"To the CBE: I opened my account 8 years ago while working as a government employee in Harerghe. Now I live in Addis Ababa, yet my account has been frozen without any explanation. I contacted nearby branches and even the head office, and all I was told is that I must go to the branch where I originally opened my account-over 400 km away. How is this fair/legal? Expecting a customer to travel over 400km just to reactivate an account is unreasonable and shows a total disregard for customer rights.",3,2026-03-14,Commercial Bank of Ethiopia,Google Play,negative,-0.3384,Feature Request
"it's good, but sometime the app can not be fast and it will need upgraeds.....?",4,2026-03-14,Commercial Bank of Ethiopia,Google Play,positive,0.2382,User Experience
I gone to cbe branch more times as I updated or re installed it because it asks verfication no. after reinstallation or updation tis costy for you,4,2026-03-14,Commercial Bank of Ethiopia,Google Play,neutral,0.0,Feature Request
wonderful Pp,5,2026-03-14,Commercial Bank of Ethiopia,Google Play,positive,0.5719,General Feedback
l want Mobile banks code,5,2026-03-13,Commercial Bank of Ethiopia,Google Play,positive,0.5106,General Feedback
My application are not working,5,2026-03-13,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
its good customer support,4,2026-03-13,Commercial Bank of Ethiopia,Google Play,positive,0.6808,User Experience
Can't active now,3,2026-03-13,Commercial Bank of Ethiopia,Google Play,negative,-0.3089,General Feedback
this app is really make me excited 😊,5,2026-03-13,Commercial Bank of Ethiopia,Google Play,positive,0.8255,General Feedback
Easy to use and best way for online transactions in Ethiopia.,4,2026-03-12,Commercial Bank of Ethiopia,Google Play,positive,0.7964,Transaction Issues
ቸርነት ገበየሁ,5,2026-03-12,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"False advertising regarding Virtual Mastercard/Visa 😓😢😓 The latest update claims to support Mastercard and Visa cards, but this is completely false. The features are either missing or do not work at all. It is shameful for a leading bank to mislead its customers with ""new features"" that aren't actually available. Fix the bugs or stop making false promises.",1,2026-03-12,Commercial Bank of Ethiopia,Google Play,negative,-0.8591,App Performance
thanks for my custom,5,2026-03-12,Commercial Bank of Ethiopia,Google Play,positive,0.4404,General Feedback
is good always not work not access.,2,2026-03-11,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
perfect 👌,5,2026-03-11,Commercial Bank of Ethiopia,Google Play,positive,0.87,General Feedback
Baankiin Daldala Itoophiyaa nuuf qabeenya guddaa tahuu hin dagatinaa Mata duree ykn Handhuura baankii hundaati,5,2026-03-11,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
The worst Application,1,2026-03-10,Commercial Bank of Ethiopia,Google Play,negative,-0.6249,General Feedback
keepup the good work thanks,5,2026-03-10,Commercial Bank of Ethiopia,Google Play,positive,0.7003,User Experience
it good,5,2026-03-10,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
loved,5,2026-03-10,Commercial Bank of Ethiopia,Google Play,positive,0.5994,User Experience
❤,5,2026-03-10,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
exellent app!!!!!,5,2026-03-09,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
it's good,3,2026-03-09,Commercial Bank of Ethiopia,Google Play,positive,0.4404,User Experience
Very Good service,5,2026-03-09,Commercial Bank of Ethiopia,Google Play,positive,0.4927,User Experience
The most dictator app in the banking industry. you beg for your own amount.,1,2026-03-09,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
ጥሩ ነው,5,2026-03-08,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
ቀርፋፋ ነዉ,2,2026-03-08,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
their is no option to write the code and it is not functioning and i can't find the setting,1,2026-03-07,Commercial Bank of Ethiopia,Google Play,negative,-0.296,General Feedback
I like it,4,2026-03-07,Commercial Bank of Ethiopia,Google Play,positive,0.3612,General Feedback
slowing on connection.,3,2026-03-07,Commercial Bank of Ethiopia,Google Play,neutral,0.0,App Performance
please release an app which can work for all android versions.,1,2026-03-07,Commercial Bank of Ethiopia,Google Play,positive,0.3182,Feature Request
"The previous application is good, but currently, after updating the application, everything is not working properly.",1,2026-03-07,Commercial Bank of Ethiopia,Google Play,positive,0.2382,User Experience
first bank itoophiyaa nigd bank,5,2026-03-06,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
heddu gaalatoma,5,2026-03-06,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"Did you know that if you open and hide your balance amount, it's font size will grow untill you can make it grow anymore because the Eye thingy will disappear (😭😭🫠)",4,2026-03-06,Commercial Bank of Ethiopia,Google Play,negative,-0.8316,Transaction Issues
this is best app,4,2026-03-06,Commercial Bank of Ethiopia,Google Play,positive,0.6369,General Feedback
"sometimes it shows ""the app is not configured to the latest"" message. Version 5.2 4",3,2026-03-06,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"Due to app version is to long ,this app is more lost money for new phone,im sory the new CBE app developper!",1,2026-03-06,Commercial Bank of Ethiopia,Google Play,negative,-0.4376,General Feedback
I am using most of my financial things smoothly.,5,2026-03-05,Commercial Bank of Ethiopia,Google Play,neutral,0.0,General Feedback
"It is a very cool application, but it requires a lot of network data. It also asks for updates too quickly, and it is not very familiar (user-friendly). It would be good if an Amharic option was included for the USSD menu",4,2026-05-17,Dashen Bank,Google Play,positive,0.6855,User Experience
"Misguiding - Claimed anyone can convert ETB to USD for online payments, but not true.",1,2026-05-16,Dashen Bank,Google Play,negative,-0.4585,Transaction Issues
best app so far. thank you,5,2026-05-15,Dashen Bank,Google Play,positive,0.7893,General Feedback
Very Annoying App i tried to open virtual bank account with fayda but in the end it says something went wrong i tried so many times it says something went wrong why???fix it quickly for now i give you 1/5👎👎👎,1,2026-05-14,Dashen Bank,Google Play,negative,-0.8965,General Feedback
good app but it was doesnt work other bank transfer and require so many updates why,5,2026-05-14,Dashen Bank,Google Play,positive,0.2382,Transaction Issues
"i swear to god , By using this app, I won a Samsung S23 Ultra. Truly, Dashen Bank is one step ahead 👏👏",5,2026-05-14,Dashen Bank,Google Play,positive,0.8176,General Feedback
good and easier to used,5,2026-05-14,Dashen Bank,Google Play,positive,0.6908,User Experience
bad mobile banking at all,1,2026-05-13,Dashen Bank,Google Play,negative,-0.5423,General Feedback
very nice app.,5,2026-05-13,Dashen Bank,Google Play,positive,0.4754,User Experience
very difficult app,1,2026-05-13,Dashen Bank,Google Play,negative,-0.4201,General Feedback
"Good app, but debit transactions not allowed Why ?",5,2026-05-13,Dashen Bank,Google Play,positive,0.2382,Transaction Issues
"Very bad customer service line. they won't pick up, dialed repeatedly. waited on hold for 20 minutes+. The worst customer service line I have experienced from a big bank.",1,2026-05-12,Dashen Bank,Google Play,negative,-0.8357,General Feedback
The application booting time is so bad..,3,2026-05-12,Dashen Bank,Google Play,negative,-0.6696,General Feedback
excelent,5,2026-05-12,Dashen Bank,Google Play,neutral,0.0,General Feedback
this app is amaizing,5,2026-05-11,Dashen Bank,Google Play,neutral,0.0,General Feedback
fast and very easy to use,5,2026-05-11,Dashen Bank,Google Play,positive,0.4927,User Experience
good but it takes forever to load,4,2026-05-11,Dashen Bank,Google Play,positive,0.2382,User Experience
easy tp use.,5,2026-05-11,Dashen Bank,Google Play,positive,0.4404,User Experience
best app i ever seen,5,2026-05-11,Dashen Bank,Google Play,positive,0.6369,General Feedback
it is best but sometime when I need to sign in it request update,3,2026-05-10,Dashen Bank,Google Play,positive,0.3818,Feature Request
nice financial app 👌,5,2026-05-10,Dashen Bank,Google Play,positive,0.8374,User Experience
it is terrible and shame update request 3 times a month what is the matter with us?,1,2026-05-09,Dashen Bank,Google Play,negative,-0.7269,Feature Request
Dashen super app is the latest mobile banking.,5,2026-05-09,Dashen Bank,Google Play,positive,0.5994,General Feedback
best but not staple suit and not fast,5,2026-05-09,Dashen Bank,Google Play,positive,0.3818,General Feedback
appn keessan kun daddafee update gaafata yeroo gootee garuu password block godhaa maallifi,5,2026-05-09,Dashen Bank,Google Play,negative,-0.4404,Account Access
"Dashen Supper up Dashen Bank ,Always one step ahead!",5,2026-05-08,Dashen Bank,Google Play,neutral,0.0,General Feedback
top mobile banking app,5,2026-05-08,Dashen Bank,Google Play,positive,0.2023,General Feedback
Thank you Dashen Bank,5,2026-05-08,Dashen Bank,Google Play,positive,0.3612,General Feedback
dashin bank one step a head,5,2026-05-08,Dashen Bank,Google Play,neutral,0.0,General Feedback
The best mobile super app in Ethiopia specifically I like it's User interface(UI),4,2026-05-08,Dashen Bank,Google Play,positive,0.891,General Feedback
Best app👍,5,2026-05-04,Dashen Bank,Google Play,positive,0.6369,General Feedback
yes goode app,5,2026-05-04,Dashen Bank,Google Play,positive,0.4019,User Experience
Wrong advertisement! You can't open an account using the app.,1,2026-05-01,Dashen Bank,Google Play,negative,-0.5255,General Feedback
I can't open a bank account It says 'something went wrong',5,2026-04-30,Dashen Bank,Google Play,negative,-0.4767,General Feedback
"👍👍 አሪፍ ነው ""ለአጠቃም ቀላል ምቹ እና አስተማማኝ ነው ተመችቶኛል 💚💛❤️",5,2026-04-30,Dashen Bank,Google Play,positive,0.8555,General Feedback
no faset dashen bsnk,1,2026-04-29,Dashen Bank,Google Play,negative,-0.296,General Feedback
it forgets the password in weeks and the biometric password too it says wrong password fix it,1,2026-04-28,Dashen Bank,Google Play,negative,-0.4767,Account Access
super,5,2026-04-27,Dashen Bank,Google Play,positive,0.5994,General Feedback
"I can't even get into the app just because my Developer mode setting is turned on? why am I getting this message? I'm never turning it off. bye, what a great app😏, it only lasted 3 minutes on my phone (I uninstalled it).",1,2026-04-26,Dashen Bank,Google Play,positive,0.6662,User Experience
wowAmazing Apps,5,2026-04-26,Dashen Bank,Google Play,neutral,0.0,General Feedback
couldn't open an account onlie. gives me an error repeatedly.,2,2026-04-26,Dashen Bank,Google Play,negative,-0.4019,App Performance
I think this app is best compared with other Ethiopian mobile banking apps,5,2026-04-25,Dashen Bank,Google Play,positive,0.6369,General Feedback
wow amazing!!!,5,2026-04-24,Dashen Bank,Google Play,positive,0.8582,General Feedback
dashen bank super app is incredible !!,3,2026-04-24,Dashen Bank,Google Play,positive,0.6688,General Feedback
So great easy wonderfully 😍😍😍,5,2026-04-24,Dashen Bank,Google Play,positive,0.9671,User Experience
Dashen app is #1,5,2026-04-23,Dashen Bank,Google Play,neutral,0.0,General Feedback
cool app,3,2026-04-23,Dashen Bank,Google Play,positive,0.3182,General Feedback
👍,5,2026-04-23,Dashen Bank,Google Play,neutral,0.0,General Feedback
super app give alot coin when I shake it zero result😃,1,2026-04-23,Dashen Bank,Google Play,positive,0.6908,General Feedback
I realy appreciate it especially virtual card opportunity go a head!👍👍,5,2026-04-23,Dashen Bank,Google Play,positive,0.7232,General Feedback
ok👌,5,2026-04-23,Dashen Bank,Google Play,positive,0.8091,General Feedback
adegn,5,2026-04-23,Dashen Bank,Google Play,neutral,0.0,General Feedback
app size is small and the app is convenient,5,2026-04-22,Dashen Bank,Google Play,neutral,0.0,General Feedback
when compared this app to CBE&Awash pro CBE&Awash pro is better and simple for using.,1,2026-04-22,Dashen Bank,Google Play,positive,0.4404,User Experience
I used this app always,5,2026-04-22,Dashen Bank,Google Play,neutral,0.0,General Feedback
good bank Dashen,5,2026-04-22,Dashen Bank,Google Play,positive,0.4404,User Experience
Very reliable.,5,2026-04-22,Dashen Bank,Google Play,neutral,0.0,General Feedback
it is excellent and well securried application for using it.,5,2026-04-19,Dashen Bank,Google Play,positive,0.7003,General Feedback
The worst mobile banking app ever... I don't think I am ever going to deposit anything from now on if I can't use the app properly. At one point it's working and when you close it and try after 5 minutes it won't even open. A bank this big should be ashamed of not being able to fix it for this long.,1,2026-04-18,Dashen Bank,Google Play,negative,-0.802,General Feedback
"i am not interested at all the transaction fee , specially i can't make transaction with wallets..........i thought it was cool ....not interested fix everything and also it have long time loading ufffff",2,2026-04-18,Dashen Bank,Google Play,negative,-0.2996,Transaction Issues
The app is not swift and does not use a fast lightweight connection.,2,2026-04-17,Dashen Bank,Google Play,negative,-0.1511,General Feedback
"I am experiencing a serious issue with the Dashen Super App. I visited a branch and my account was successfully activated. However, shortly after (within about 7 hours), the app started asking me again to visit the branch. In addition, my account balance is not showing even after updating the app, and I can no longer see my account number. This situation is very frustrating, especially after completing the required verification at the branch. The system does not seem stable and it is affecting",1,2026-04-16,Dashen Bank,Google Play,positive,0.2069,Transaction Issues
nice but i ask every week to update.,5,2026-04-16,Dashen Bank,Google Play,positive,0.2263,User Experience
i have used this app starting from the first date that launched it is interested and easiest app next to tellbirr in my experience,5,2026-04-11,Dashen Bank,Google Play,positive,0.7184,General Feedback
The worst mobile banking app in Ethiopia🤮🤮🤮,1,2026-04-10,Dashen Bank,Google Play,negative,-0.6249,General Feedback
it is very Exciting app🙏,5,2026-04-09,Dashen Bank,Google Play,positive,0.5413,General Feedback
Transfer to other bank link is still not working .,5,2026-04-09,Dashen Bank,Google Play,neutral,0.0,Transaction Issues
super fast,5,2026-04-08,Dashen Bank,Google Play,positive,0.5994,General Feedback
👌👌👌👌,5,2026-04-08,Dashen Bank,Google Play,positive,0.9736,General Feedback
where is the virtual master card you are talking about. are we allowed to have multiple cards since its virtual btw your app is nice,5,2026-04-06,Dashen Bank,Google Play,positive,0.4215,User Experience
Why haven’t you fixed this issue 👇 Temporarily Unavailable We're currently updating this service to improve your experience. It will be restored soon. Thank you for your patience,4,2026-04-06,Dashen Bank,Google Play,positive,0.7783,General Feedback
The Best Bank,5,2026-04-05,Dashen Bank,Google Play,positive,0.6369,General Feedback
great,5,2026-04-04,Dashen Bank,Google Play,positive,0.6249,User Experience
this dashin super app that I don't recommend anyone use it,1,2026-04-04,Dashen Bank,Google Play,positive,0.4195,General Feedback
በዋይፋይ አይሰራም።,1,2026-04-04,Dashen Bank,Google Play,neutral,0.0,General Feedback
there is no a system every day,1,2026-04-04,Dashen Bank,Google Play,negative,-0.296,General Feedback
You talk much more !! Nothing is UNIQUE THAN OTHER APPS!!!,1,2026-04-04,Dashen Bank,Google Play,neutral,0.0,General Feedback
